公司代號,公司簡稱,財務結構-負債佔資產比率(%),財務結構-長期資金佔不動產、廠房及設備比率(%),償債能力-流動比率(%),償債能力-速動比率(%),償債能力-利息保障倍數(%),經營能力-應收款項週轉率(次),經營能力-平均收現日數,經營能力-存貨週轉率(次),經營能力-平均售貨日數,經營能力-不動產、廠房及設備週轉率(次),經營能力-總資產週轉率(次),獲利能力-資產報酬率(%),獲利能力-權益報酬率(%),獲利能力-稅前純益佔實收資本比率(%),獲利能力-純益率(%),獲利能力-每股盈餘(元),現金流量-現金流量比率(%),現金流量-現金流量允當比率(%),現金流量-現金再投<br>資比率(%),year,market,出表日期,資料年月,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
1434,福懋,22.63,582.66,203.22,108.47,14.49,8.61,42.39,3.45,105.79,2.3,0.36,2.78,3.33,13.43,7.28,1.25,55.03,91.21,0.01,109,上市,,,,,,,,,,,,,
1435,中福,17.63,1135.63,3175.08,3125.21,-40166.04,106.76,3.41,0.01,36500.00,0.17,0.01,-2.06,-2.47,-1.52,-142.4,-0.17,-94.39,1168.9,-2.48,109,上市,,,,,,,,,,,,,
1436,華友聯,76.81,15225.42,153.45,26.17,225.00,494.96,0.73,0.17,2147.05,53.62,0.15,2.42,6.65,19.94,11.01,1.88,-28.41,-39.56,-32.78,109,上市,,,,,,,,,,,,,
1437,勤益控,43.06,208219.58,371.73,368.2,9.48,66.77,5.46,10.70,34.11,128.59,0.05,3.56,5.52,21.05,58.96,1.76,64.2,98.58,3.57,109,上市,,,,,,,,,,,,,
1438,三地開發,69.98,2034.04,148.22,10.51,1184275.00,,,0.04,9125.00,3.01,0.08,3.74,8.54,4.62,46.65,0.45,-117.01,-98.19,-227.49,109,上市,,,,,,,,,,,,,
1439,雋揚,7.28,1032975.93,674.91,528.54,-13204.67,11.38,32.07,*****,*****,87.83,0.04,9.3,9.66,-258.37,-218.67,-2.65,,,,109,上市,,,,,,,,,,,,,
1440,南紡,46.07,172.26,91.55,59.33,7.01,9.34,39.07,3.77,96.81,0.83,0.38,2.42,3.88,5.96,5.5,0.57,16.92,53.99,3.71,109,上市,,,,,,,,,,,,,
1441,大東,59.61,103.13,60.24,27.65,-889.00,11.08,32.94,3.08,118.50,1.25,0.57,-10.11,-26.28,-29.48,-19.36,-2.9,-7.81,-94.5,-3.91,109,上市,,,,,,,,,,,,,
1442,名軒,57.32,40248.32,412.1,11.92,4.36,44.64,8.17,0.17,2147.05,89.92,0.18,0.79,1.45,2.49,3.44,0.25,-10.16,82.84,-3.1,109,上市,,,,,,,,,,,,,
1443,立益物流,86.14,35.24,17.54,15.21,26.51,3.33,109.60,3.72,98.11,0.12,0.1,0.41,-7.34,-4.41,-10.31,-0.29,5.3,0.0,10.23,109,上市,,,,,,,,,,,,,
