,sid,sid_name,股價,大盤領先指標,產業領先指標,勝率(%)_營收,合理價差(%)_營收,相關性_營收,勝率(%)_EPS,合理價差(%)_EPS,相關性_EPS,勝率(%)_殖利率,合理價差(%)_殖利率,相關性_殖利率,date,耗時(秒),策略_營收,策略_EPS,策略_殖利率
140,9802,鈺齊-KY,148.5,中等,極佳,46,-25,中度相關 0.63,,,低度相關 0.42,,,低度相關 0.31,2022-11-21,62,1,0,0
141,5604,中連,50.6,中等,極佳,46,-19,中度相關 0.61,,,,41,-33,中度相關 0.51,2022-11-21,65,1,0,1
142,2458,義隆,86.4,中等,極佳,39,14,高度相關 0.93,42,-37,中度相關 0.66,41,-41,中度相關 0.59,2022-11-21,63,0,1,1
143,5345,天揚,5.8,中等,極佳,46,-28,低度相關 0.49,,,,,,,2022-11-21,59,1,0,0
144,8928,鉅明,36.75,中等,極佳,,,低度相關 0.35,42,-13,中度相關 0.56,41,-13,中度相關 0.56,2022-11-21,58,0,1,1
145,5269,祥碩,738,不適用,不適用,46,-15,高度相關 0.77,42,-50,中度相關 0.61,41,-49,中度相關 0.64,2022-11-21,63,1,1,1
146,9914,美利達,177,中等,極佳,,,低度相關 0.38,,,低度相關 0.49,41,-42,中度相關 0.5,2022-11-21,66,0,0,0
147,6104,創惟,94.3,不適用,不適用,39,97,高度相關 0.89,42,-43,中度相關 0.54,41,-43,中度相關 0.54,2022-11-21,64,0,1,1
148,6488,環球晶,475,中等,極佳,46,-27,中度相關 0.51,,,低度相關 0.13,0,0,低度相關 0.23,2022-11-21,63,1,0,0
149,3529,力旺,1505,中等,極佳,45,-9,中度相關 0.68,42,-24,中度相關 0.57,41,-24,中度相關 0.56,2022-11-21,61,0,1,1
150,1558,伸興,112.5,中等,極佳,,,低度相關 0.15,42,-13,中度相關 0.57,41,-14,中度相關 0.58,2022-11-21,71,0,1,1
151,2348,海悅,62,中等,極佳,46,-14,高度相關 0.89,42,-11,高度相關 0.88,41,-12,中度相關 0.55,2022-11-21,74,1,1,1
152,2929,淘帝-KY,12.25,中等,極佳,46,-34,中度相關 0.68,,,,,,,2022-11-21,61,1,0,0
153,4510,高鋒,10.5,中等,極佳,46,-27,中度相關 0.57,,,,48,-6,,2022-11-21,57,1,0,0
154,5903,全家,184,中等,極佳,,,低度相關 0.21,42,-11,高度相關 0.77,48,-8,高度相關 0.81,2022-11-21,55,0,0,0
155,6139,亞翔,32.2,不適用,不適用,,,低度相關 0.06,,,低度相關 0.05,,,低度相關 0.08,2022-11-21,59,0,0,0
156,3016,嘉晶,77.7,中等,極佳,46,-15,中度相關 0.65,,,,,,,2022-11-21,57,1,0,0
157,3450,聯鈞,38.3,中等,極佳,,,低度相關 0.26,42,-28,中度相關 0.63,,,低度相關 0.48,2022-11-21,58,0,1,0
158,1451,年興,21.75,中等,極佳,46,-12,中度相關 0.67,,,,,,,2022-11-21,57,1,0,0
159,1210,大成,43.4,中等,極佳,46,-23,中度相關 0.58,45,4,中度相關 0.71,48,-3,高度相關 0.88,2022-11-21,61,1,0,0
160,6485,點序,72.1,中等,極佳,46,-16,高度相關 0.75,,,,0,0,,2022-11-21,59,1,0,0
161,6257,矽格,49.6,中等,極佳,45,-5,高度相關 0.88,42,-18,中度相關 0.59,41,-17,中度相關 0.66,2022-11-21,57,0,1,1
162,8027,鈦昇,53.8,中等,極佳,46,-17,中度相關 0.54,,,,,,低度相關 0.36,2022-11-21,62,1,0,0
